ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0048762	mesenchymal cell differentiation	17/430	206/11986	0.0825242718446602	2.30031609844209	3.63127704825557	0.001207297836819	0.0278450611550056	0.0258083925581931	FOXC1/NOTCH1/QKI/SOX10/SFRP1/EZH2/HDAC2/NRTN/GCNT2/WWTR1/PAX6/MDK/VEGFA/SPRY2/TMEM100/ZNF750/RGCC	17
GO:2000696	regulation of epithelial cell differentiation involved in kidney development	4/430	14/11986	0.285714285714286	7.9641196013289	5.02917056697793	0.00122774099288528	0.0281528816114214	0.0260936981329375	PRKX/PROM1/WWTR1/CD24	4
GO:0031099	regeneration	15/430	171/11986	0.087719298245614	2.44512443900449	3.67143562936987	0.00125565617077243	0.0286275174106564	0.0265336176921239	NFIB/TYMS/NOTCH1/KLF5/EZH2/LPIN1/CCNA2/FZD7/MDK/CDK1/ADM/AURKA/SLC7A5/KLK6/SPP1	15
GO:0030856	regulation of epithelial cell differentiation	13/430	137/11986	0.0948905109489051	2.64501782379902	3.73542070869709	0.00128039447607038	0.0290247136375497	0.0269017618340682	FOXC1/NOTCH1/EZH2/PRKX/PROM1/WWTR1/PAX6/MAFF/CEACAM1/VEGFA/SPRY2/TMEM100/CD24	13
GO:0010212	response to ionizing radiation	12/430	121/11986	0.0991735537190083	2.7644051508745	3.76276080240934	0.00132996778166176	0.0299771715332511	0.0277845541946443	MSH2/SFRP1/RAD51AP1/ECT2/CRYAB/MYC/CXCL10/RFWD3/BARD1/NET1/CCL7/TSPYL5	12
GO:0048713	regulation of oligodendrocyte differentiation	6/430	35/11986	0.171428571428571	4.77847176079734	4.31814836687021	0.00137996668386272	0.030928405846799	0.0286662124694171	NOTCH1/QKI/HDAC2/TNFRSF21/MDK/ID4	6
GO:0045137	development of primary sexual characteristics	17/430	210/11986	0.080952380952381	2.25650055370986	3.54342229639366	0.00148876459046858	0.033179377137016	0.0307525411857288	FOXC1/NOTCH1/MSH2/SFRP1/NASP/PRDX4/HMGB2/KIF18A/VEGFA/FANCG/FANCA/NUDT1/ASPM/KIT/BRIP1/PTX3/DMRT1	17
GO:0030033	microvillus assembly	4/430	15/11986	0.266666666666667	7.43317829457364	4.80900781115994	0.00162713906924777	0.0360606742329939	0.0334230918487649	RAP2A/KLF5/PODXL/FSCN1	4
GO:2001252	positive regulation of chromosome organization	10/430	92/11986	0.108695652173913	3.02982810920121	3.7699769017125	0.00165660198726828	0.0365096671305181	0.0338392441025035	FEN1/SMC4/BUB1/AURKB/SMC2/NCAPH/CDK1/SKA1/MYC/NEK2	10
GO:0048608	reproductive structure development	20/430	270/11986	0.0740740740740741	2.06477174849268	3.41348658552244	0.00175512689092552	0.0384673390955886	0.0356537262576495	FOXC1/NOTCH1/MSH2/SFRP1/NASP/PRDX4/HMGB2/KIF18A/VEGFA/FANCG/ID4/SERPINE2/FANCA/NUDT1/ASPM/KIT/BRIP1/PTX3/SERPINB5/DMRT1	20
GO:0061458	reproductive system development	20/430	272/11986	0.0735294117647059	2.04958960328317	3.37754265710128	0.00191538645536371	0.041749110266087	0.0386954591589673	FOXC1/NOTCH1/MSH2/SFRP1/NASP/PRDX4/HMGB2/KIF18A/VEGFA/FANCG/ID4/SERPINE2/FANCA/NUDT1/ASPM/KIT/BRIP1/PTX3/SERPINB5/DMRT1	20
GO:0045685	regulation of glial cell differentiation	8/430	64/11986	0.125	3.4843023255814	3.84387586964718	0.00195519044603484	0.0423838278656843	0.0392837516709791	NOTCH1/QKI/HDAC2/TNFRSF21/MDK/CDK1/ID4/SERPINE2	8
