feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_nodal_status_N0	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_t_stage_T4	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_t_stage_T3	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_t_stage_T2	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_nodal_status_N1	0.0	0.0	clinical_only	elastic_net_logreg	2	2
er_status_ihc_esr1_for indeterminate_P	-0.15194591443210925	0.15194591443210925	clinical_only	elastic_net_logreg	2	3
er_status_ihc_esr1_for indeterminate_N	0.14204688526767462	0.14204688526767462	clinical_only	elastic_net_logreg	2	3
grade_3	0.11548134295573591	0.11548134295573591	clinical_only	elastic_net_logreg	2	3
grade_2	-0.07437895598553555	0.07437895598553555	clinical_only	elastic_net_logreg	2	3
age_years	-0.005520345119856848	0.005520345119856848	clinical_only	elastic_net_logreg	2	3
clinical_t_stage_T0	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_t_stage_T1	0.0	0.0	clinical_only	elastic_net_logreg	2	3
grade_Indeterminate	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_ajcc_stage_IIB	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_ajcc_stage_IIA	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_ajcc_stage_I	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_nodal_status_N3	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	2	3
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_nodal_status_N0	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_t_stage_T4	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_t_stage_T3	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_t_stage_T2	0.0	0.0	clinical_only	elastic_net_logreg	2	3
clinical_nodal_status_N1	0.0	0.0	clinical_only	elastic_net_logreg	2	3
er_status_ihc_esr1_for indeterminate_P	-0.6061954642943145	0.6061954642943145	clinical_only	elastic_net_logreg	2	4
